trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-200.41878896062502,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.95}",20,0,-49.24612935934441,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9}",25,0,-86.24936342003718,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.85}",30,0,-131.33148969035386,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.8}",25,0,-189.51303170005554,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.75}",30,0,-147.31949559155208,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.7}",25,0,-39.72340129351389,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999999}",25,4,-54.62949217105178,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.6}",25,3,-102.91536368450016,"{0: 15, 1: 1, 2: 2, 3: 3, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.55}",20,0,-117.14625721532022,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.5}",30,0,-49.19840834369414,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.44999999999999996}",20,0,-45.00354789598984,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.3999999999999999}",35,0,-134.29377515060116,"{0: 25, 1: 3, 2: 3, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.35}",25,0,-9.233481609017726,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999993}",30,21,7.150611901353253,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.25}",30,11,0.7327518328157765,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.19999999999999996}",20,0,10.496792991814596,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999999}",20,0,6.69968493261527,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999998}",30,21,-2.7507946570681416,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.04999999999999993}",25,0,21.35111394091902,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 0.0}",35,21,24.711922778928404,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,2,14.87056357301922,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,23,10.201456117354073,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,30.61430946049431,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,11,6.353241670137267,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,15,9.597722216666984,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,12,14.057797940606164,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,14,9.914662488814237,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,8,23.42993992249136,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,20,9.914441896182693,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
