trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.95020663573676,"{0: 12, 1: 8, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.995}",25,0,-139.70077027284395,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.990025}",25,13,-26.074800849893883,"{0: 6, 1: 4, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.985074875}",20,0,-80.40485554180916,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.980149500625}",30,0,-101.29419618589966,"{0: 19, 1: 4, 2: 4, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.975248753121875}",25,0,-162.3346150144711,"{0: 12, 1: 6, 2: 3, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9703725093562656}",25,0,-84.02667953446075,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9655206468094842}",25,1,-179.1891604494999,"{0: 12, 1: 5, 2: 3, 3: 1, 4: 3}",1
9,False,"{'a': 0.5, 'e': 0.9606930435754368}",25,0,-212.64620825436853,"{0: 15, 1: 3, 2: 1, 3: 2, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.9558895783575596}",35,0,-211.44531944188208,"{0: 17, 1: 3, 2: 11, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9511101304657719}",25,10,-32.978852349643645,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.946354579813443}",20,0,-253.03983361892386,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 6}",0
13,False,"{'a': 0.5, 'e': 0.9416228069143757}",25,0,-159.74150616078114,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.9369146928798039}",25,10,-44.841392054125464,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.9322301194154049}",30,5,-202.31099645091365,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",1
16,False,"{'a': 0.5, 'e': 0.9275689688183278}",20,0,-77.42325843302183,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9229311239742362}",20,0,-143.46212776495287,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.918316468354365}",35,0,-82.25136278564054,"{0: 26, 1: 3, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9137248860125932}",20,0,-148.52082913481559,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9091562615825302}",30,0,-176.4976132198256,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.9046104802746175}",20,0,-134.57661127440267,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9000874278732445}",20,0,-18.183203182301742,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.8955869907338783}",25,0,-105.17452170379579,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.8911090557802088}",25,0,-75.61544866594477,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.8866535105013078}",30,1,-129.03946836685574,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 2}",1
26,False,"{'a': 0.5, 'e': 0.8822202429488012}",30,8,-152.82367681663715,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 3}",1
27,False,"{'a': 0.5, 'e': 0.8778091417340572}",20,0,-79.9716410060962,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.873420096025387}",20,0,-31.536029476069817,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.86905299554526}",25,0,-158.76347712858282,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 4}",0
30,False,"{'a': 0.5, 'e': 0.8647077305675337}",30,18,-12.332880978118505,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
