trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.5789569682044,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.95}",20,0,-137.73415214954252,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9}",20,0,-46.717696597575255,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.85}",20,0,-89.44851004107215,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8}",25,0,-131.95082075195808,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.75}",30,0,-187.5369079557342,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.7}",25,0,-86.93545041926943,"{0: 14, 1: 5, 2: 4, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999999}",20,0,-94.84925978416715,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.6}",20,0,-86.62462965343506,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.55}",20,0,-151.78197278428715,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.5}",25,0,-133.9314112035217,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.44999999999999996}",25,0,-146.19221958836124,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.3999999999999999}",25,0,-32.58968420471567,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.35}",30,0,-170.08428622325047,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999993}",20,0,-124.45521875459407,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.25}",30,0,-208.0460768457502,"{0: 19, 1: 3, 2: 3, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999996}",20,0,-108.26864139782329,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999999}",25,0,-87.11743611545255,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999998}",25,0,-101.05887090221407,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.04999999999999993}",30,0,-245.33673164737928,"{0: 12, 1: 6, 2: 7, 3: 2, 4: 3}",0
1,True,"{'a': 0.5, 'e': 0.0}",20,0,-115.7764716446948,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",30,0,-119.32165355373385,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-139.4499695319533,"{0: 15, 1: 3, 2: 2, 3: 4, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,7,-39.089368097648496,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,-38.0599685128883,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-106.67858447850251,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-49.555620400076236,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-46.6040446494633,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-74.351306636017,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-33.375374229138835,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
